  ENSEMBLE_MEMBER  COLUMN_HEIGHT   M_FLOW_RATE     SOURCE_START    SOURCE_DURAT    TOP_HAT_THICK   SUZUKI_A        SUZUKI_L        WIND_U          WIND_V          CLOUD_HEIGHT    CLOUD_THICK     FI_MEAN         DIAMETER_AGGR   DENSITY_AGGR    
      0001          0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
      0002          0.35181         0.84673        -0.07305         0.03005         0.08135        -0.51719         0.01244         0.67657        -0.04599        -0.97574         0.28906         0.91191        -0.19881        -0.09923
      0003         -0.80269        -0.36167        -0.00417         0.58437        -0.06625         0.58010         0.61648         0.93457         0.43381         0.92771         0.88187         0.55701        -0.15662         0.11788
      0004         -0.41105        -0.71137        -0.45161        -0.33192        -0.79967         0.73221        -0.41548         0.65044        -0.81939         0.02257        -0.84148         0.74360         0.65887         0.09692
      0005         -0.41739         0.88207         0.46194         0.09472         0.40504        -0.66077         0.02122        -0.47772         0.01277         0.39066        -0.22606        -0.05219         0.61872         0.10085
      0006          0.63698        -0.76100        -0.27425        -0.52147        -0.67188        -0.01478         0.19420        -0.98938         0.60611        -0.87335        -0.80640        -0.86519         0.06152         0.07391
      0007         -0.60234         0.90997         0.58299         0.84517         0.93067        -0.91457        -0.12456         0.36436         0.88191         0.57290         0.49444         0.40881        -0.71373        -0.40368
      0008          0.27726         0.51919        -0.42971        -0.16858         0.39587        -0.98995        -0.41449        -0.48776        -0.60543         0.85767        -0.41247        -0.61555         0.45803        -0.99796
      0009         -0.78084        -0.18652         0.30972         0.94896        -0.08757        -0.14954        -0.07504         0.56946         0.10938         0.42131        -0.69253         0.14702         0.70351         0.98039
      0010         -0.05844        -0.35986        -0.67612        -0.09192        -0.22635         0.06877         0.81246        -0.80025        -0.27538         0.37356         0.39051        -0.35854         0.50904         0.64913
      0011          0.29104         0.85675        -0.49379        -0.28512         0.63483         0.77401         0.18412         0.23860         0.45161        -0.25041        -0.15023         0.88321         0.74706         0.53167
      0012         -0.66963         0.11241        -0.36104         0.27035        -0.42069        -0.27937         0.25272         0.85346         0.02161        -0.12289        -0.40888         0.18166         0.35586         0.49265
      0013          0.28562         0.91185        -0.14053        -0.56275        -0.94277         0.29258         0.56324        -0.71765        -0.65995         0.54567        -0.21777         0.87502         0.00559        -0.29250
      0014          0.72895         0.46854         0.67082         0.15898         0.59952        -0.09885        -0.16022         0.70988        -0.75577        -0.73721        -0.98335         0.67133        -0.78367         0.81085
      0015         -0.45374        -0.99762         0.92129        -0.04364         0.56493         0.26017         0.56967         0.39457         0.46597         0.52116        -0.11407         0.69708        -0.76565        -0.65216
      0016          0.79216        -0.77008        -0.78988         0.91476        -0.89858        -0.45127         0.20335         0.29593        -0.78195         0.06463         0.10559         0.17082        -0.72644         0.45733
